id,name,category,num_beds,address,suburb,state,postcode,longitude,latitude,comment,website
222,Young Health Service,Hospital,27.5,68 Allanan Street,YOUNG,NSW,2594,148.2881165,-34.32058716,"Young Health Service includes a 26 bed hospital delivering emergency, acute care, maternity, surgical as well as other various services in the region of Young Shire.  Young District Hospital is part of ^Murrumbidgee Local Health District.|| http://www.mlhd.health.nsw.gov.au//^   Services we provide: General Medicine, General Surgery, Maternity, Neurology.  Admin Hours: 8am to 5pm Monday to Friday  Visiting Hours: 10:00am – 12:00pm and 2:00pm – 8:00pm.  Hospital personnel: Sandra Groat Facility Manager 02 6382 8888  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.mlhd.health.nsw.gov.au/
223,Wolper Jewish Hospital,Hospital,,8 Trelawney Street,WOOLLAHRA,NSW,2025,151.2409515,-33.88393402,Services include rehabilitation hospital services,www.wolper.com.au
224,East Sydney Private Hospital,Hospital,20,75 Crown Street,WOOLLOOMOOLOO,NSW,2011,151.2162018,-33.87373352,Total number of beds: 20,eastsydneyprivatehospital.com
225,Culcairn Multi Purpose Service,Hospital,26.1,"Culcairn District Hospital, 55 Balfour Street",CULCAIRN,NSW,2660,147.04216,-35.66738129,Culcairn Multi Purpose Service is an Aged and Acute Care Facility. The Facility maintains a 24 hour Emergency Department. The Community Health Centre is located at the same address. The Community Health Centre is open Monday to Friday 8:30am to 5:00pm.,
226,Neringah Hospital,Hospital,15,4 Neringah Avenue,WAHROONGA,NSW,2076,151.1146088,-33.71767044,"Neringah Hospital is part of ^ Northern Sydney Local Health District.|| http://www.nslhd.health.nsw.gov.au//^   After Hours emergency on-call service   Services we provide include: Palliative Care  Admin Hours: 8am to 4:30pm Monday to Friday  Hospital Performance Report:  For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.nslhd.health.nsw.gov.au/
227,MACLEAN DISTRICT HOSPITAL,Hospital,42.6,21 Union Street,MACLEAN,NSW,2463,153.201828,-29.45375252,"Maclean District Hospital is a local community, level 3 rural hospital within the North Coast Area Health Service that provides multiple services.  Maclean District Hospital is part of ^Northern NSW Local Health District.|| http://nnswlhd.health.nsw.gov.au//^   Services we provide:  Heart, Gastroenterology, General Medicine, General Surgery, Neurology, Respiratory.  Hospital personnel: Anne Farrell Nurse Manager 02 6640 0101 Dallas Waters Aboriginal Health Liaison Officer 02 6640 0123 Wiliam Cupo Director of Emergency Services 02 6640 2222 Tony Crayton Business Manager 02 6640 2473  Admin hours: 8:30am to 5pm Monday to Friday   Visiting Hours: 10:00am-8:00pm.  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://nnswlhd.health.nsw.gov.au/
228,Gloucester Soldiers Memorial Hospital,Hospital,79.3,166 182 Church Street,GLOUCESTER,NSW,2422,151.9588013,-32.01491928,"Gloucester Hospital is an 80-bed campus which consists of a 20-bed acute ward, 15-bed aged care transitional ward, 25-bed nursing home and a 20-bed hostel.  Gloucester Soldiers Memorial Hospital is part of ^Hunter New England Local Health District.|| http://www.hnehealth.nsw.gov.au//^   Services we provide: 24-hour emergency department, general medical , palliative care, limited obstetrics, limited paediatrics, x-ray, physiotherapy, minor general surgery and ophthalmic (eye) surgery.  Admin Hours: 8am to 5pm Monday to Friday  Visiting Hours: General visiting hours: 1:30pm to 8:30pm Maternity ward rest period: 1:30pm to 3:30pm Hillcrest Nursing Home: 10am to 8pm.  Hospital personnel: Barbera Berry Health Service Manager 02 6538 5000 Peter Finlayson Executive Medical Director 02 6767 7700   For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.hnehealth.nsw.gov.au/
229,Denman Multi Purpose Service,Hospital,17,51-53 Ogilvie Street,DENMAN,NSW,2328,150.684875,-32.389492,"Denman Multi Purpose Service is a 19-bed hospital which provides general medical care, aged care and community health services for the people of Denman and the surrounding district. A private general medical practice is also available on-site.  Denman Multi Purpose Service is part of ^Hunter New England Local Health District.|| http://www.hnehealth.nsw.gov.au//^   Services we provide: Cancer, Heart, Ear, Nose & Throat Surgery, General Medicine, Neurology, Palliative Care, Respiratory  Hospital personnel: J Larkin Health Service Manager 02 6547 3999 Peter Finlayson Executive Medical Director 02 6767 7700  For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.hnehealth.nsw.gov.au/
230,Oberon Multi Purpose Service,Hospital,18,"Oberon Multi Purpose Service, 75 North Street",OBERON,NSW,2787,149.8530273,-33.70539474,"Our Multi-purpose service was developed to provide continuity of care and a balanced mix of services appropriate to meeting local health care needs in our community. MPS's integrate a range of health services, including acute care, subacute care (including respite and palliative care), emergency, aged care ,  allied health, oral health, primary health and community services. Please contact our service for further information on specific services we offer.",
231,Northern Beaches Hospital,Hospital,,105 Frenchs Forest Road,FRENCHS FOREST,NSW,2086,151.2339325,-33.75130463,,http://www.northernbeacheshospital.com.au/
232,Tottenham Multi Purpose Service,Hospital,9.9,"Lot 10, Moondana Street",TOTTENHAM,NSW,2873,147.3580933,-32.24258804,"Our Multi-purpose service was developed to provide continuity of care and a balanced mix of services appropriate to meeting local health care needs in our community. MPS's integrate a range of health services, including acute care, subacute care (including respite and palliative care), emergency, aged care ,  allied health, oral health, primary health and community services. Please contact our service for further information on specific services we offer.",http://www.wnswlhd.health.nsw.gov.au/
233,Holroyd Private Hospital,Hospital,37,123 Chetwynd Road,GUILDFORD,NSW,2161,150.9789734,-33.84617615,Total number of beds: 37,http://www.holroydprivate.com.au/HolroydPriv.asp
234,Narrandera Health Service,Hospital,,"Narrandera Hospital, 54 64 Adams Street",NARRANDERA,NSW,2700,146.5473785,-34.74315262,"Narrandera Health Service is an integrated health service. The Hospital maintains a 24 hour emergency department. The Community Health Centre provides a range of primary health services, focussing on maintaining good health.",
235,Warners Bay Private Hospital,Hospital,,42 Fairfax Road,WARNERS BAY,NSW,2282,151.6417847,-32.96538925,Services include hospital services,www.warnersbayprivate.com.au
236,Warren Multi Purpose Service,Hospital,40.6,"Lot 176, Doctor Kater Drive",WARREN,NSW,2824,147.8374481,-31.69414902,"Warren Multi-Purpose Service provides acute care and nursing home care and primary health services, focussing on maintaining good health or intervening before health problems become acute. Phone for further information relating to available services.",http://www.wnswlhd.health.nsw.gov.au/
237,Trundle Multi Purpose Health Service,Hospital,11,"Trundle Multi Purpose Service, 44 Brookview Street",TRUNDLE,NSW,2875,147.7042389,-32.92132568,"Trundle Multi-Purpose Service provides acute care, residential aged care, a 24 hour emergency service, and primary health services, focussing on maintaining good health or intervening before health problems become acute. Phone for further information relating to available services.",http://www.wnswlhd.health.nsw.gov.au/
238,Pambula District Hospital,Hospital,26.6,"Lot 7014, Merimbola Street",PAMBULA,NSW,2549,149.8792267,-36.92631531,"Pambula District Hospital is part of  Southern NSW Local Health District.   http://www.snswlhd.health.nsw.gov.au//   Services we provide:  Drug & Alcohol.  Admin Hours: 9am to 5pm Monday to Friday  Visiting Hours: 8:00am – 1:00pm and 3:00pm – 8:00pm.  Pambula District Hospital is also an Assessment, Treatment and Care Clinic for minor illnesses and injuries.   For emergencies, please go to South East Regional Hospital or dial 000.   Pambula District Hospital no longer has a GP led Emergency Department.",http://www.snswlhd.health.nsw.gov.au/
239,Ryde Hospital,Hospital,143,9 Denistone Road,EASTWOOD,NSW,2122,151.0903931,-33.79550171,"Ryde Hospital is part of ^ Northern Sydney Local Health District.|| http://www.nslhd.health.nsw.gov.au//^  Services we provide:  Heart, Gastroenterology, General Medicine, General Surgery, Geriatric, Orthopaedics, Respiratory  Visiting Hours:  11am to 1pm and 3pm to 8pm except for Emergency Department and High Dependency Unit visiting hours any time.  Admin Hours: 8am to 4:30pm Monday to Friday  Hospital personnel: Darlene Mathen Director Medical Services 02 9858 7699 Shelly Castree-Croad Director of Nursing and Midwifery 02 9858 7565  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.nslhd.health.nsw.gov.au/Hospitals/Ryde
240,Gulgong Multi Purpose Service,Hospital,4,34 Goolma Road,GULGONG,NSW,2852,149.522934,-32.36644363,Gulgong Public hospital providing acute care and general medicine.,http://www.wnswlhd.health.nsw.gov.au/
241,Wentworth District Hospital,Hospital,14.1,24 Hospital Road,WENTWORTH,NSW,2648,141.9224854,-34.10998154,"Wentworth Health Service is a small rural hospital and health service that provides limited first line emergency services and nursing home type services. It provides a range of primary and community health services.  Wentworth District Hospital is part of ^Far West Local Health District.|| http://www.fwlhn.health.nsw.gov.au//^   Services we provide: Cancer, Heart, Drug & Alcohol, General Medicine, Kidney Medicine, Neurology, Palliative Care, Respiratory  Admin Hours: 9apm to 5pm   Hospital personnel: Judy Lamb Health Service Manager 03 5027 7111  For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.fwlhn.health.nsw.gov.au/
242,Emmaville/Vegetable Creek Hospital,Hospital,17,13 33 Glen Innes Road,EMMAVILLE,NSW,2371,151.5992584,-29.45062065,"Vegetable Creek Hospital, Emmaville provides hospital, community and residential aged care services.  Vegetable Creek Hospital is part of ^Hunter New England Local Health District.|| http://www.hnehealth.nsw.gov.au//^   Services we provide: 24-hour emergency, Gastroenterology, General Medicine, General Surgery, Infectious Diseases, Mental Health, Neurology, Palliative Care, Respiratory, Vascular Surgery, community nursing, nursing home and hostel type care.   Visiting Hours: 8am to 8pm  Admin: 8am to 4:30pm Monday to Friday   Hospital personnel: Jennifer Newberry Health Service Manager 02 6734 7900 Peter Finlayson Executive Medical Director 02 6767 7700  For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.hnehealth.nsw.gov.au/
243,Hunter Valley Private Hospital,Hospital,,20 Mawson Street,SHORTLAND,NSW,2307,151.6950226,-32.88292313,Services including hospital services,www.hvph.com.au
244,Maitland Private Hospital,Hospital,86,175 Chisholm Road,EAST MAITLAND,NSW,2323,151.5978851,-32.76537704,Total number of beds: 86,http://www.maitlandprivatehospital.com.au/
245,Trangie Multi Purpose Service,Hospital,19.4,"Trangie Multi Purpose Service, 28 Harris Street",TRANGIE,NSW,2823,147.9772949,-32.03058624,"Trangie Multi-Purpose Service provides acute care and nursing home care and primary health services, focussing on maintaining good health or intervening before health problems become acute. Phone for further information relating to available services.",http://www.wnswlhd.health.nsw.gov.au/
246,Minchinbury Community Hospital,Hospital,,Corner Rupertswood Road and Great Western Highway,ROOTY HILL,NSW,2766,150.8276367,-33.78231812,,http://www.machealth.com.au/
247,Norwest Private Hospital,Hospital,,11 Norbrik Drive,BELLA VISTA,NSW,2153,150.95401,-33.74521637,,norwestprivatehospital.com.au
248,Quirindi Community Hospital,Hospital,20,50 Nowland Street,QUIRINDI,NSW,2343,150.6765595,-31.50039101,"Quirindi Community Hospital is a 20-bed hospital which provides services for the people of Quirindi and the surrounding district. There is also a Community Health Centre on-site.  Quirindi Community Hospital is part of ^Hunter New England Local Health District.|| http://www.hnehealth.nsw.gov.au//^   Services we provide: General Medicine, Geriatric, Palliative Care, Rehabilitation, Acute care, Emergency care, Maternity, Allied health.  Visiting Hours: 8am to 8pm  Admin Hours: 8am -5pm  Hospital Personnel: Peter Finlayson Executive Medical Director 02 6767 7700  For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.hnehealth.nsw.gov.au/
249,Northside Clinic,Hospital,,2 Frederick Street,GREENWICH,NSW,2065,151.1904907,-33.81739426,Service includes hospital services,
250,Deniliquin Hospital,Hospital,35.9,411 Charlotte Street,DENILIQUIN,NSW,2710,144.9629822,-35.52443695,"Deniliquin Health Service includes a 61 bed hospital servicing Deniliquin Shire and the surrounding area when required. Hospital services including emergency, surgery, paediatrics, obstetrics and cardiac rehabilitation program and Pulmonary Rehabilitation and Gastroenterology, General Medicine, Maternity, Respiratory.",http://www.mlhd.health.nsw.gov.au/
251,Cobar Health Service,Hospital,10,33 Woodiwiss Avenue,COBAR,NSW,2835,145.825104,-31.509905,Cobar Public hospital provides acute care and general medicine.,https://wnswlhd.health.nsw.gov.au/
252,Portland Tabulam Health Centre,Hospital,26,20 Green Street,PORTLAND,NSW,2847,149.9788971,-33.35789871,only for the aged residential care unit,
253,Mt Wilga Private Hospital,Hospital,,66 Rosamond Street,HORNSBY,NSW,2077,151.0927582,-33.69226074,Private Rehabilitation Hospital and Day Program,www.mtwilgaprivate.com.au/
254,Coledale District Hospital,Hospital,38,638 646 Lawrence Hargrave Drive,COLEDALE,NSW,2515,150.9507904,-34.28379822,"Coledale Hospital specialises in rehabilitation and aged care for the northern Illawarra, and also offers General Medicine services. Hospital services and security are 24 hours.   Coledale Hospital is part of ^ Illawarra Shoalhaven Local Health District.|| http://www.islhd.health.nsw.gov.au//^   Reception Hours: 8am - 4pm Monday to Friday  Visiting Hours: Rehabilitation: 1.00pm - 8.00pm  Transitional Ward: 8.00am-8.00pm  Hospital personnel: Anne Gilholme Director of Nursing and Midwifery 02 4267 0111  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.islhd.health.nsw.gov.au/
255,Menindee Health Service,Hospital,0,21 Perry Street,MENINDEE,NSW,2879,142.41452,-32.39011,,http://www.fwlhd.health.nsw.gov.au/
256,Tamworth Rural Referral Hospital,Hospital,287.7,31 Dean Street,TAMWORTH,NSW,2340,150.9251709,-31.07344437,"Tamworth Hospital is a rural referral hospital with 282 beds, and is the largest health facility in NSW outside the Sydney-Wollongong-Newcastle metropolitan area. Tamworth Hospital is a major trauma referral centre.  Tamworth Rural Referral Hospital is part of ^Hunter New England Local Health District.|| http://www.hnehealth.nsw.gov.au//^   Services we provide: 24-hour emergency department, Gastroenterology, General Medicine, Kidney Medicine, Maternity, Mental Health, Ophthalmology, Orthopaedics, Urology, Cardiac, Rehabilitation (including brain injury), Diabetes Centre, Paediatrics, Oncology, Radiology and Pathology  General visiting hours: 11:00am - 8:30pm.  Rest periods: ICU and Ward 9: 2pm - 4pm Maternity: 1pm-3pm  Admin Hours: am to pm Monday to Friday  Hospital personnel: Brad Hansen General Manager 02 6767 7700 Peter Finlayson Medical Director 6763 7402   For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.hnehealth.nsw.gov.au/
257,BANKSTOWN LIDCOMBE HOSPITAL,Hospital,389.7,68 Eldridge Road,BANKSTOWN,NSW,2200,151.0208435,-33.93313217,"Bankstown-Lidcombe Hospital is a principal referral hospital which provides a range of inpatient and outpatient services including aged care, allied health, cancer services, critical care, emergency medicine, diagnostic services, drug and alcohol services, general and specialist medicine and surgery, mental health services, obstetrics, gynaecology and paediatrics, peri operative services, outreach services, endoscopic ultrasound (EUS) plus specialist services including the acute pain service and stomal therapy.",http://www.swslhd.nsw.gov.au/
258,NOWRA PRIVATE HOSPITAL,Hospital,,9 Weeroona Place,NOWRA,NSW,2541,150.6065521,-34.89353561,"surgical, medical, rehab and day surgery",www.nowraprivate.com.au
259,Culcairn Hospital,Hospital,26.1,51-55 Balfour Street,CULCAIRN,NSW,2660,147.0418396,-35.66743469,"Culcairn Health Service, services the Greater Hume Shire with a 27 bed hospital providing a range of services.  Culcairn Health Service is part of ^Murrumbidgee Local Health District.|| http://www.mlhd.health.nsw.gov.au//^   Services we provide: Heart, Gastroenterology, General Medicine, General Surgery, Palliative Care, Respiratory.  Visiting Hours: 11:00am – 8:00pm.  Admin Hours:  8am to 5pm Monday to Friday  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.mlhd.health.nsw.gov.au/
260,Nepean Hospital,Hospital,594.9,Corner Derby and Somerset Street,KINGSWOOD,NSW,2747,150.7126312,-33.75986481,"Nepean Hospital is a major public teaching hospital, annually treating more than 51,000 people in its emergency department, has approximately 51,000 patients staying at least one night in hospital, performs more than 10,000 emergency and planned surgical procedures, provides 600,000 outpatient services and assists with the birth of more than 3,700 babies.  Nepean Hospital is part of ^ Nepean Blue Mountains Local Health District.|| http:// http://www.nbmlhd.health.nsw.gov.au//^ Services we provide:  Heart, Drug & Alcohol, General Medicine, General Surgery, Kidney Medicine, Maternity, Orthopaedics  Visiting Hours: General 10am - 8pm  Maternity 10am -12pm Rest Period 12pm - 3pm Visiting hour resumes 3pm - 8pm CU visits are at the discretion of the senior staff on duty  Admin Hours:  7am to 8pm Monday to Friday  Hospital personnel: Felicity Lindfield Patient Care Representative 02 4734 3174 Kevin Hedge General Manager 02 4734 3316 Marie Clarke Director of Nursing and Midwifery 02 4734 2288  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.nbmlhd.health.nsw.gov.au/
261,Eugowra Multi Purpose Service,Hospital,14,Hill Street,EUGOWRA,NSW,2806,148.367157,-33.42385483,"Our Multi-purpose service was developed to provide continuity of care and a balanced mix of services appropriate to meeting local health care needs in our community. MPS's integrate a range of health services, including acute care, subacute care (including respite and palliative care), emergency, aged care ,  allied health, oral health, primary health and community services. Please contact our service for further information on specific services we offer.",http://www.wnswlhd.health.nsw.gov.au/
262,Chris O'Brien Lifehouse,Hospital,125,119-143 Missenden Road,CAMPERDOWN,NSW,2050,151.1822052,-33.89091492,Total number of beds: 125,http://www.mylifehouse.org.au/
263,Port Kembla Hospital,Hospital,57,89 91 Cowper Street,WARRAWONG,NSW,2502,150.8815918,-34.48591614,"Port Kembla District Hospital is a specialist referral hospital for Rehabilitation, Aged Care and Palliative Care which provides care to 7757 patients every year. The hospital provides a comprehensive range of inpatient, outpatient and community services and an occupational health unit. A number of Drug and Alcohol and HIV Prevention services and Community Health Services are also based at Port Kembla Hospital.  Port Kembla Hospital is part of ^ Illawarra Shoalhaven Local Health District.|| http://www.islhd.health.nsw.gov.au//^   Services we provide: Gastroenterology, General Medicine, General Surgery, Kidney Medicine, Maternity, Orthopaedics, Respiratory  Admin Hours: 8am to 4:30pm Monday to Friday  Visiting Hours: Rehab 1.00pm-8.00pm Monday to Friday  1.00am -8.00pm Saturday, Sunday & Public Holidays    Palliative Care Ward 8am - 8pm Daily 1:30 - 3pm rest period  Hospital personnel: Marian Brown Patient Care Representative 02 4223 8032  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.islhd.health.nsw.gov.au/
264,Wauchope District Memorial Hospital,Hospital,28,69 High Street,WAUCHOPE,NSW,2446,152.7280426,-31.45747185,"No emergency department The Wauchope Health Campus consists of Wauchope District Memorial Hospital and Wauchope Community Health Centre.  Wauchope Hospital provides a 24-hour, level 3 service.  Wauchope District Memorial Hospital Services Offered at Wauchope District Memorial Hospital Medical services are provided by General Practitioners and specialist Surgeons and Anaesthetists contracted to the Mid North Coast Local Health District.  Wauchope District Memorial Hospital currently has 18 inpatient beds in the main hospital consisting of – 8 Rehabilitation, and 10 General Medical beds.  In addition Wauchope provides specialist Palliative Care services in a purpose built 8-bed Palliative Care Unit.  There is one operating theatre for day-only surgery, including endoscopy, orthopaedic, gynaecology, vascular and urology.   The Community can access walk-in medical attention from the purpose built Urgent Care Centre, which is opened from 8am to 6pm, 7 days per week.  An Emergency Department is located 15 minutes away by car at Port Macquarie Base Hospital.   Personnel: Ann Bodill - Executive Officer/ Director of Nursing Yvonne Carmichael – Nurse Manager Aboriginal Liaison officer available during business hours Director of Medical Services - Dr Michael King",http://mnclhd.health.nsw.gov.au/
265,TORONTO PRIVATE HOSPITAL,Hospital,,214 Excelsior Parade,TORONTO,NSW,2283,151.5927887,-33.01659012,,www.torontoprivatehospital.com.au
266,St George Hospital,Hospital,626.6,Gray Street,KOGARAH,NSW,2217,151.1337738,-33.96696854,"St George Hospital is an accredited teaching hospital of the University of NSW which provides care to around 50,000 patients admitted to hospital every year.  The hospital also provides treatment to more than 800,000 outpatients every year. St George Hospital offers a comprehensive range of inpatient and community-based health services to more than 250,000 residents within Southern Sydney and is a major trauma service for NSW.  St George Hospital is part of ^South Eastern Sydney Local Health District.|| http://www.seslhd.health.nsw.gov.au///^  Services we provide: Mental Health, Heart, Gastroenterology, General Medicine, General Surgery, Kidney Medicine, Maternity, Neurology, Orthopaedics, Respiratory  Hospital personnel: Cath Whitehurst Director of Operations 02 9113 1111 Martin Mackertich Director of Clinical Services 02 9113 1111 Vicki Manning Director of Nursing and Midwifery 02 9113 1111  Admin Hours: 24 hour administration  Visiting Hours: General Wards: 10am to 12:30pm and 3pm to 8pm Maternity Unit: 3pm to 8pm Intensive Care Unit: 10am to 1pm and 3:30pm to 8pm Mental Health Unit 10am to 8pm Rest period: 12:30pm to 3:00pm i.e. visiting is not permitted between these hours.  Hospital Information: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.seslhd.health.nsw.gov.au/SGH/default.asp
267,Calvary Mater Newcastle,Hospital,179.9,Corner Edith and Platt Street,WARATAH,NSW,2298,151.7211456,-32.90011978,"Calvary Mater Newcastle is situated in Waratah, Newcastle, in the heart of the Hunter region. With 195 beds and supported by an emergency department and intensive care unit, Calvary Mater Newcastle is the Hunter region's major centre for oncology (cancer) services, haematology, clinical toxicology and research.  The hospital is also home to the Newcastle Melanoma Unit and BreastScreen NSW Hunter New England, and has a stroke service which provides a seamless care approach to stroke treatment and assessment of patients.  Calvary Mater Newcastle is part of ^Hunter New England Local Health District.|| http://www.hnehealth.nsw.gov.au//^   Services we provide: General Medicine, General Surgery, Intensive Care, Heart, Neurology, Neurosurgery, Cancer, Vascular Surgery, Haematology, Gastroenterology, Respiratory, Dermatology, Infectious Diseases, Drug & Alcohol, Rehabilitation, Geriatric, Palliative Care  Visiting Hours: General - 11am to 1pm and 3pm to 8pm. Mercy Hospice - Unrestricted visiting hours.  Admin Hours: 24 hour administration  For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.calvarymater.org.au/
268,St George Hospital - Birth Centre,Hospital,,"St George Hospital - Main Entrance, Level 1, Gray Street",KOGARAH,NSW,2217,151.1337585,-33.96865845,,
269,Tenterfield Community Hospital,Hospital,18,1 Naas Street,TENTERFIELD,NSW,2372,152.0135346,-29.04456139,"Tenterfield Community Hospital is an 18 bed acute hospital with a 24-hour emergency department. The hospital also offers community health.  Tenterfield Community Hospital is part of Hunter New England Local Health District.   Services we provide: Heart, Gastroenterology, General Medicine, General Surgery, Infectious Diseases, Mental Health, Respiratory, Radiology  Hospital personnel: Tony Roberts Health Service Manager 02 6739 5211 Peter Finlayson Executive Medical Director 02 6767 7700   For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care www.bhi.nsw.gov.au For information on healthcare associated infections by hospital http://www.myhospitals.gov.au",http://www.hnehealth.nsw.gov.au/
270,South East Regional Hospital,Hospital,,4 Virginia Drive,BEGA,NSW,2550,149.8539429,-36.6882019,"South East Regional Hospital is located at 4 Virginia Drive, Bega, and approximately one kilometre south of the Bega CBD on Tathra Road. It is the first roundabout heading towards Tathra.",www.serh.org.au
271,Camden Hospital,Hospital,56,65 Menangle Road,CAMDEN,NSW,2570,150.6934509,-34.06362534,"Camden Hospital provides a diverse range of services including intensive care, cardiology, maternity, gynaecology, paediatrics, palliative care,  respiratory and stroke medicine, surgery and emergency medicine, broad aged care services, allied health and outpatient services.",
272,White Cliffs Health Service,Hospital,0,Johnson Street,WHITE CLIFFS,NSW,2836,143.0899963,-30.85030174,,http://www.fwlhn.health.nsw.gov.au/
273,Charlestown Private Hospital,Hospital,7,"Level 3, 250 Pacific Highway",CHARLESTOWN,NSW,2290,151.6976166,-32.96008682,Total number of beds: 7,http://www.charlestownprivatehospital.com.au/
274,Merriwa Multipurpose Service,Hospital,23,Corner of Brisbane and Mckenzie Street,MERRIWA,NSW,2329,150.360321,-32.14213181,"Merriwa Multi-Purpose Service is part of ^Hunter New England Local Health District.|| http://www.hnehealth.nsw.gov.au//^   Admin Hours: 8:30am to 5pm  Hospital Personnel: Peter Finlayson Executive Medical Director 02 6767 7700  For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.hnehealth.nsw.gov.au/
275,BERKELEY VALE PRIVATE HOSPITAL,Hospital,,Lorraine Avenue,BERKELEY VALE,NSW,2261,151.432785,-33.33706284,Providesday procedures and rehabilitation on Weekdays 7:00AM tp 6:00PM.,www.berkeleyvaleprivate.com.au
276,Leeton Health Service,Hospital,,"Leeton District Hospital, 114 124 Wade Avenue",LEETON,NSW,2705,146.4076386,-34.54970551,"Leeton Health Service is an integrated health service. The Hospital maintains a 24 hour emergency department. The Community Health Centre provides a range of primary health services, focussing on maintaining good health.",
277,Condobolin Health Service,Hospital,21.7,1 Madline Street,CONDOBOLIN,NSW,2877,147.1521301,-33.08273315,'The Condobolin Health Service is a small rural hospital and health service that provides a range of clinical and health promotion services .  ',http://www.wnswlhd.health.nsw.gov.au/
278,Metropolitan Rehabilitation Hospital,Hospital,37,275 Addison Road,PETERSHAM,NSW,2049,151.1557007,-33.89928436,Private rehabilitation hospital offering inpatient and day patient rehabilitation services. MetroRehab is a 37-bed private rehabilitation facility well equipped to provide superior multidisciplinary medical and physical rehabilitation Programs · Orthopaedic Rehabilitation · Stroke Rehabilitation · Neurological Rehabilitation – includes  Multiple Sclerosis · Cardiac Rehabilitation · Cancer Rehabilitation · Parkinson's Disease Program · General Reconditioning,http://www.metrorehab.com.au
279,Mona Vale Hospital,Hospital,168.2,18 Coronation Street,MONA VALE,NSW,2103,151.3070984,-33.685112,,http://www.nslhd.health.nsw.gov.au/
